i,FONTE,TEMA,ASSUNTO,LINK,SUMARIO,TAGS,KEYWORDS,TEXTO
1590,Receita Federal, ,Controladoria-Geral da União,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/sigilo-fiscal/controladoria-geral-da-uniao,"51 da Lei nº 13.844 de 18 de junho de 2019 no âmbito do Poder Executivo federal acerca da requisição de informações e de documentos necessários para a realização dos trabalhos ou atividades da Controladoria-Geral da União e a aplicação do disposto no art.2º Os órgãos do Ministério da Economia fornecerão à Controladoria-Geral da União os dados e as informações necessários para a realização dos seus trabalhos ou atividades inclusive aqueles protegidos pelo sigilo fiscal previsto no art.Quanto à interpretação dos pressupostos e dos limites relacionados ao compartilhamento das informações protegidas por sigilo fiscal tem-se a aprovação pelo Presidente da República do ""(...) Parecer nº AM - 08 de 18 de outubro de 2019 do Advogado-Geral da União que adotou nos termos estabelecidos no Despacho do Consultor-Geral da União nº 00955/2019/GAB/CGU/AGU o Parecer nº 053/2019/CONSUNIAO/CGU/AGU da Consultoria-Geral da União"".IV - Mediante decreto e instrumento próprio no qual se estabeleçam os limites de uso da informação e as condicionantes necessárias ao resguardo do sigilo pode ser realizado o compartilhamento de dados fiscais com o Tribunal de Contas da União ou com a Controladoria-Geral da União sem anonimização quando indispensável à realização de procedimentos de auditoria e inspeção de dados processos e controles operacionais da administração tributária e aduaneira da gestão fiscal ou da análise de demonstrações financeiras da União.Atenção Nos termos do Parecer nº 053/2019/CONSUNIAO/CGU/AGU ""a evolução de entendimento ora proposto quanto à possibilidade de compartilhamento de dados fiscais sob gestão de órgãos da Administração Tributária para fins de auditoria ou inspeção está adstrita ao Tribunal de Contas da União e à Controladoria-Geral da União em razão da especificidade de suas atribuições não compreendendo outras instâncias de controle interno ou externo"".",assuntos orientacao tributaria sigilo fiscal controladoria geral da uniao,controladoriageral art tributária nº sigilo união órgãos informações dados auditoria administração,"O Decreto nº 10. 209 de 22 de janeiro de 2020 conforme disposto em seu art. 1º ""regulamenta a aplicação do disposto no inciso VIII do caput do art. 51 da Lei nº 13. 844 de 18 de junho de 2019 no âmbito do Poder Executivo federal acerca da requisição de informações e de documentos necessários para a realização dos trabalhos ou atividades da Controladoria-Geral da União e a aplicação do disposto no art. 198 da Lei nº 5. 172 de 25 de outubro de 1966 - Código Tributário Nacional para fins de compartilhamento de dados e de informações inclusive aqueles protegidos por sigilo fiscal"". VIII - requisição a órgão ou a entidade da administração pública federal de informações e de documentos necessários a seus trabalhos ou a suas atividades Art. 2º Os órgãos do Ministério da Economia fornecerão à Controladoria-Geral da União os dados e as informações necessários para a realização dos seus trabalhos ou atividades inclusive aqueles protegidos pelo sigilo fiscal previsto no art."
1591,Receita Federal, ,Conversão Quantidade x Quantidade na Unidade Estatística,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/declaracoes-e-demonstrativos/dnf/conversao-quantidade-x-quantidade-na-unidade-estatistica,"Os campos ""Unidade"" e ""Quantidade"" de uma nota fiscal indicam respectivamente a unidade de medida na qual foi expressa uma determinada mercadoria e a quantidade da mesma mercadoria (produto) naquela unidade de medida.A ""Unidade Estatística"" pode ser igual ou não à ""Unidade"" presente na Nota Fiscal.A ""Quantidade na Unidade Estatística"" representa a quantidade da mercadoria expressa na unidade estatística.A informação correta da ""Quantidade na Unidade Estatística"" é de responsabilidade do declarante e para expressá-la deve-se fazer a conversão através de cálculo específico para cada mercadoria.Abaixo encontram-se exemplos de como calcular a ""Quantidade na Unidade Estatística"" baseados em Tabela de Produtos eTabela de Dados da Nota Fiscal ambas hipotéticas.",assuntos orientacao tributaria declaracoes e demonstrativos dnf conversao quantidade x quantidade na unidade estatistica,fiscal kg estatística conversão x produto nota tabela quantidade mercadoria unidade 1,"Os campos ""Unidade"" e ""Quantidade"" de uma nota fiscal indicam respectivamente a unidade de medida na qual foi expressa uma determinada mercadoria e a quantidade da mesma mercadoria (produto) naquela unidade de medida. A ""Unidade Estatística"" é aquela definida como padrão pela SRF para fins de controle fiscal para uma determinada mercadoria. A ""Unidade Estatística"" pode ser igual ou não à ""Unidade"" presente na Nota Fiscal. A ""Quantidade na Unidade Estatística"" representa a quantidade da mercadoria expressa na unidade estatística. A informação correta da ""Quantidade na Unidade Estatística"" é de responsabilidade do declarante e para expressá-la deve-se fazer a conversão através de cálculo específico para cada mercadoria. Note-se que uma mesma mercadoria pode ter diferentes conversões devido a especificidades próprias como gramatura densidade forma de apresentação etc."
1592,Receita Federal, ,Créditos de Retenção - Lei 9711/98,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/restituicao-ressarcimento-reembolso-e-compensacao/perdcomp/perdcomp-web/retencao-lei-9711-98,PER/DCOMP WebA partir de 29/04/2019 as pessoas jurídicas poderão utilizar o PER/DCOMP Web para créditos oriundos de Contribuição Previdenciária retida na prestação de serviços.A aplicação importará automaticamente os dados da retenção informados pelo prestador de serviço na EFD-Reinf oferecendo maior agilidade e segurança ao contribuinte.As empresas obrigadas à entrega da EFD-Reinf poderão fazer tanto o pedido de restituição quanto a declaração de compensação por meio do PER/DCOMP Web.Essa evolução está disponível para os contribuintes do Grupo 1 do eSocial (para competência a partir de agosto/2018) e também para todos os contribuintes do Grupo 2 (para competência a partir de janeiro/2019).Cabe ressaltar que a possibilidade de compensação cruzada (créditos e débitos fazendários e previdenciários) somente é permitida a partir do fato gerador com entrega da DCTF Web agosto/2018 para o Grupo 1 abril/2019 para as empresas do Grupo 2 com faturamento superior a R$ 48 milhões e outubro/2019 para as demais empresas do Grupo 2 e Grupo 3.,assuntos orientacao tributaria restituicao ressarcimento reembolso e compensacao perdcomp perdcomp web retencao lei 9711 98,web poderão entrega efdreinf 971198 créditos lei perdcomp retenção empresas competência contribuintes 2,A partir de 29/04/2019 as pessoas jurídicas poderão utilizar o PER/DCOMP Web para créditos oriundos de Contribuição Previdenciária retida na prestação de serviços. A aplicação importará automaticamente os dados da retenção informados pelo prestador de serviço na EFD-Reinf oferecendo maior agilidade e segurança ao contribuinte. As empresas obrigadas à entrega da EFD-Reinf poderão fazer tanto o pedido de restituição quanto a declaração de compensação por meio do PER/DCOMP Web. Essa evolução está disponível para os contribuintes do Grupo 1 do eSocial (para competência a partir de agosto/2018) e também para todos os contribuintes do Grupo 2 (para competência a partir de janeiro/2019).
1593,Receita Federal, ,Códigos de Receita de Contribuição Previdenciária (GPS),https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/pagamentos-e-parcelamentos/codigos-de-receita/codigos-de-receita-de-contribuicao-previdenciaria,Item Código de Receita (GPS)Especificação da Receita1 1007 Contribuinte Individual - Recolhimento Mensal - NIT/PIS/PASEP2 1104 Contribuinte Individual - Recolhimento Trimestral - NIT/PIS/PASEP3 1120 Contribuinte Individual - Recolhimento Mensal - Com dedução de 45% (Lei nº 9.876/99) - NIT/PIS/PASEP4 1147 Contribuinte Individual - Recolhimento Trimestral - Com dedução de 45% (Lei nº 9.876/99) - NIT/PIS/PASEP5 1163 Contribuinte Individual (autônomo que não presta serviço à empresa) - Opção Aposentadoria apenas por idade (art.80 da LC 123 de 14/12/2006) - Recolhimento Mensal - NIT/PIS/PASEP6 1180 Contribuinte Individual (autônomo que não presta serviço à empresa) - Opção Aposentadoria apenas por idade (art.80 da LC 123 de 14/12/2006) - Recolhimento Mensal - NIT/PIS/PASEP19 1490 Facultativo - Opção Aposentadoria apenas por idade (art.65 2704 Comercialização da Produção Rural - CEI66 2712 Comercialização da Produção Rural - CEI - Pagamento exclusivo para Outras Entidades (SENAR)67 2801 Reclamatória Trabalhista - CEI68 2810 Reclamatória Trabalhista - CEI - Pagamento exclusivo para Outras Entidades (SESC SESI SENAI etc).71 2909 Reclamatória Trabalhista - CNPJ72 2917 Reclamatória Trabalhista - CNPJ Pagamento exclusivo para Outras Entidades (SESC SESI SENAI etc.),assuntos orientacao tributaria pagamentos e parcelamentos codigos de receita codigos de receita de contribuicao previdenciaria,parcelamento uso preenchimento receita previdenciária trimestral órgão gps cnpj exclusivo pagamento recolhimento mensal contribuição códigos,Empresas em Geral - CNPJ - Pagamento Exclusivo de empresas conveniadas com o FNDE - Competências anteriores a 01/2007 (Dec. 6. 003/2006) Empresas em Geral - CEI - Pagamento Exclusivo de empresas conveniadas com o FNDE para competências anteriores a 01/2007 (Dec. 6. 003/2006) Associação Desportiva que Mantém Equipe de Futebol Profissional - Receita Bruta a Título de Patrocínio Licenciamento de Uso de Marcas e Símbolos Publicidade Propaganda e Transmissão de Espetáculo - CNPJ - Retenção e recolhimento efetuado por empresa patrocinadora em seu próprio nome Associação Desportiva que Mantém Equipe de Futebol Profissional - Receita Bruta de Espetáculos Desportivos - CNPJ - Retenção e recolhimento efetuado por entidade promotora do espetáculo (Federação ou Confederação) em seu próprio nome Acordo Perante Comissão de Conciliação Prévia Dissídio ou Acordo Coletivo e Convenção Coletiva - CEI - Pagamento exclusivo para Outras Entidades (SESC SESI SENAI etc).
1594,Receita Federal, ,DBF - Orientações Gerais,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/declaracoes-e-demonstrativos/dbf/dbf-orientacoes-gerais,Ministério dos Transportes no que diz respeito a projetos relativos ao Reidi aprovados por esse órgão11.Ministério da Integração Nacional no que diz respeito a projetos relativos ao Reidi aprovados por esse órgão12.Secretaria Especial de Portos no que diz respeito a projetos relativos ao Reidi previamente aprovados por esse órgão13.Ministério das Cidades no que diz respeito a projetos relativos ao Reidi aprovados por esse órgão14.Secretaria de Aviação Civil no que diz respeito a projetos relativos ao Reidi aprovados por esse órgão.,assuntos orientacao tributaria declaracoes e demonstrativos dbf dbf orientacoes gerais,dbf patrocínios gerais aprovados projetos ministério doações reidi orientações nacional relativos respeito programa,O Programa Gerador da Declaração de Benefícios Fiscais – DBF versão 7. 0. 3 tem por objetivo coletar as informações relativas - às doações aos Fundos dos Direitos da Criança e do Adolescente e aos Fundos do Idoso - às doações e aos patrocínios a projetos do Programa Nacional de Apoio à Atenção Oncológica (Pronon) e do Programa Nacional de Apoio à Atenção da Saúde da Pessoa com Deficiência (Pronas/PCD) - ao cancelamento deferimento e indeferimento definitivos de pedidos de concessão e de renovação dos certificados de entidades beneficentes de assistência social. 1. Órgãos responsáveis pela administração das contas dos Fundos dos Direitos da Criança e do Adolescente nacional estaduais distrital e municipais no que diz respeito às doações efetuadas a esses fundos 2. Órgãos responsáveis pela administração das contas dos Fundos dos Direitos do Idoso nacional estaduais distrital e municipais no que diz respeito às doações efetuadas a esses fundos 3.
1595,Receita Federal, ,DIF-Papel Imune,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/regimes-e-controles-especiais/dif-papel-imune,QUEM ESTÁ OBRIGADOA pessoa jurídica a quem tenha sido concedido Regpi fica obrigada à apresentação da DIF-Papel Imune ainda que não tenha havido movimentação de estoques ou produção no semestre-calendário.QUEM ESTÁ OBRIGADODOS PRAZOS PARA APRESENTAÇÃOA DIF-Papel Imune deverá ser apresentada em meio digital mediante a utilização de aplicativo a ser disponibilizado pela RFB com a seguinte periodicidadeI - em relação ao primeiro semestre-calendário até o último dia útil do mês de agosto eII - em relação ao segundo semestre-calendário até o último dia útil do mês de fevereiro do ano subsequente.A apresentação corresponde às declarações relativas a operações com papel imune realizadas a partir do ano-calendário de 2010.A omissão de informação ou a prestação de informação falsa na DIF-Papel Imune configura crime contra a ordem tributária previsto no art.2º da Lei nº 8.137 de 27 de dezembro de 1990 sem prejuízo das demais sanções cabíveis podendo ser aplicado o regime especial de fiscalização previsto no art.33 da Lei nº 9.430 de 27 de dezembro de 1996.,assuntos orientacao tributaria regimes e controles especiais dif papel imune,útil apresentação r sido imune multa informação reais apresentada difpapel,A pessoa jurídica a quem tenha sido concedido Regpi fica obrigada à apresentação da DIF-Papel Imune ainda que não tenha havido movimentação de estoques ou produção no semestre-calendário. QUEM ESTÁ OBRIGADO A DIF-Papel Imune deverá ser apresentada em meio digital mediante a utilização de aplicativo a ser disponibilizado pela RFB com a seguinte periodicidade I - em relação ao primeiro semestre-calendário até o último dia útil do mês de agosto e II - em relação ao segundo semestre-calendário até o último dia útil do mês de fevereiro do ano subsequente. I - multa de 5% (cinco por cento) não inferior a R$ 100 00 (cem reais) e não superior a R$ 5. 000 00 (cinco mil reais) sobre o valor da operação com papel imune omitida ou apresentada de forma inexata ou incompleta e II - multa de R$ 2. 500 00 (dois mil e quinhentos reais) em caso de micro e pequenas empresas e de R$ 5.
1596,Receita Federal, ,DIF-Papel Imune - Declaração do Papel Imune,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/declaracoes-e-demonstrativos/dif-papel-imune, ,assuntos orientacao tributaria declaracoes e demonstrativos dif papel imune,imune difpapel declaração papel, 
1597,Receita Federal, ,DPP - Declaração País-a-País,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/declaracoes-e-demonstrativos/dpp, ,assuntos orientacao tributaria declaracoes e demonstrativos dpp,paísapaís declaração dpp, 
1598,Receita Federal, ,Decisão do recurso de ofício,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/julgamento-administrativo/decisao-do-recurso-de-oficio,O recurso de ofício é decidido por acórdão do CARF.É cabível recurso especial a ser apresentado pelo sujeito passivo ou pela Fazenda Nacional no prazo de 15 dias da ciência da decisão contra decisão que der ou negar provimento a recurso de ofício.,assuntos orientacao tributaria julgamento administrativo decisao do recurso de oficio,negar provimento prazo passivo nacional sujeito fazenda recurso decisão ofício,O recurso de ofício é decidido por acórdão do CARF. É cabível recurso especial a ser apresentado pelo sujeito passivo ou pela Fazenda Nacional no prazo de 15 dias da ciência da decisão contra decisão que der ou negar provimento a recurso de ofício.
1599,Receita Federal, ,Decisão do recurso especial,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/julgamento-administrativo/decisao-do-recurso-especial,O julgamento do recurso especial será formalizado em acórdão proferido pela Câmara Superior de Recursos Fiscais (CSRF) do CARF e será cientificado ao contribuinte.É definitiva a decisão do recurso especial não cabendo pedido de reconsideração.,assuntos orientacao tributaria julgamento administrativo decisao do recurso especial,especial julgamento recursos proferido formalizado recurso decisão reconsideração pedido fiscais superior, 
1600,Receita Federal, ,Declaração Pré-Preenchida do Imposto sobre a Renda da Pessoa Física,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/declaracoes-e-demonstrativos/dirpf/declaracao-pre-preenchida/declaracao-pre-preenchida-do-imposto-sobre-a-renda-da-pessoa-fisica,Para o exercício 2020A RFB disponibiliza ao contribuinte a Declaração Pré-Preenchida do IRPF.Ao utilizar a declaração Pré-Preenchida o contribuinte poderá fazer qualquer tipo de declaração e optar pela tributação por deduções legais (modelo completo) ou por desconto simplificado (modelo simplificado).Para utilizar a Declaração Pré-Preenchida do IRPF1.Em 'Meu Imposto de Renda (Extrato da DIRPF)' faça o download do arquivo da Declaração Pré-Preenchida do Programa IRPF3.No Programa IRPF no menu Declaração/ Importar Declaração Pré-Preenchida selecione o tipo de declaração e faça a importação do arquivo da Declaração Pré-Preenchida4.,assuntos orientacao tributaria declaracoes e demonstrativos dirpf declaracao pre preenchida declaracao pre preenchida do imposto sobre a renda da pessoa fisica,imposto correção rfb verificação exercício informações enviado pessoa renda física contribuinte declaração dados prépreenchida,"A RFB disponibiliza ao contribuinte a Declaração Pré-Preenchida do IRPF. Esta declaração contém informações relativas a rendimentos deduções bens e direitos e dívidas e ônus reais e pode ser obtida diretamente do PGD IRPF por meio da opção “Iniciar Declaração a partir da Pré-Preenchida” da Aba “Nova” da Tela de Entrada. É necessário o uso de certificado digital do próprio contribuinte ou de seu procurador. Ao utilizar a declaração Pré-Preenchida o contribuinte poderá fazer qualquer tipo de declaração e optar pela tributação por deduções legais (modelo completo) ou por desconto simplificado (modelo simplificado). Para utilizar a Declaração Pré-Preenchida do IRPF 1. Acesse a opção ""Iniciar Declaração a partir da Pré-Preenchida"" da aba ""Nova"" da Tela de Entrada do PGD IRPF. 2. Verifique a correção dos dados pré-preenchidos e se necessário realize as alterações inclusões e exclusões das informações devidas."
1603,Receita Federal, ,Dercat - Perguntas e Respostas,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/declaracoes-e-demonstrativos/dercat/perguntas-e-respostas-dercat,4º § 3º da Instrução Normativa RFB nº 1.627 de 2016)10) Quais são os cargos empregos e funções públicas de direção ou eletivas?22) A Lei nº 13.254 de 2016 manda o declarante entregar cópia da Dercat para fins de registro ao Banco Central do Brasil (BCB) como faço isto?A Dercat será considerada não apresentada não se estendendo os efeitos e proteções da Lei nº 13.254 de 2016 a esse contribuinte.4º e 5º da Instrução Normativa nº SRF nº 118 de 2000).Nota 1 Para mais informações ver pergunta de nº 603 do “Perguntas e Respostas do IRPF 2016” no endereço http//receita.economia.gov.br/interface/cidadao/irpf/2016/perguntao/irpf2016perguntao.pdf.,assuntos orientacao tributaria declaracoes e demonstrativos dercat perguntas e respostas dercat,nº 13254 31 dercat perguntas lei 2016 normativa dezembro instrução respostas bens rfb,Aprovado pelo Ato Declaratório Interpretativo nº 5 de 11 de julho de 2016 com as alterações aprovadas pelo Ato Declaratório Interpretativo nº 6 de 9 de agosto de 2016 pelo Ato Declaratório Interpretativo nº 9 de 25 de agosto de 2016 pelo Ato Declaratório Interpretativo nº 10 de 20 de outubro de 2016 e pelo Ato Declaratório Interpretativo nº 5 de 4 de dezembro de 2018.
1604,Receita Federal, ,Derex - Declaração sobre a Utilização dos Recursos em Moeda Estrangeira Decorrentes do Recebimento de Exportações,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/declaracoes-e-demonstrativos/derex/derex-declaracao-sobre-a-utilizacao-dos-recursos-em-moeda-estrangeira-decorrentes-do-recebimento-de-exportacoes,A Medida Provisória nº 315/2006 convertida na Lei nº 11.371/2006 introduziu novas regras para o mercado de câmbio brasileiro.A partir da Resolução nº 3.548 de 12 de março de 2008 foi autorizada a manutenção no exterior da totalidade dos recursos relativos ao recebimento de exportações.A partir desta data não vigora qualquer limite para manutenção de recursos no exterior decorrentes do recebimento de exportações.A partir da Resolução nº 3.548/2008 a qual permitiu a manutenção da totalidade dos recursos no exterior esta verificação não será realizada.Para este controle a Instrução Normativa nº 726 de 28 de fevereiro de 2007 instituiu a Declaração sobre a Utilização dos Recursos em Moeda Estrangeira Decorrentes do Recebimento de Exportações (Derex).,assuntos orientacao tributaria declaracoes e demonstrativos derex derex declaracao sobre a utilizacao dos recursos em moeda estrangeira decorrentes do recebimento de exportacoes,declaração exportação recursos decorrentes nº recebimento lei resolução pagamentos moeda receita derex estrangeira exportações exterior utilização câmbio,1. A Medida Provisória nº 315/2006 convertida na Lei nº 11. 371/2006 introduziu novas regras para o mercado de câmbio brasileiro. Visando reduzir o custo nas transações cambiais a sistemática de controle foi simplificada. No âmbito do Banco Central do Brasil foram extintos os controles de exportação baseados na vinculação entre os contratos de câmbio e os Registros de Exportação. Ao mesmo tempo deixam de existir o ilícito de sonegação de cobertura cambial e a respectiva sanção ambos previstos no antigo Decreto nº 23. 258/1933. 2. A exigência de cobertura cambial nas exportações foi flexibilizada ficando o Conselho Monetário Nacional (CMN) encarregado de disciplinar a matéria possuindo autonomia para estabelecer o percentual dos recursos de exportação que deve efetivamente ingressar no País. Assim inicialmente por meio da Resolução nº 3.
1605,Receita Federal, ,Desistência de parcelamentos concedidos pela RFB,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/pagamentos-e-parcelamentos/parcelamentos-especiais/parcelamento-excepcional-2013-paex-2013-mp-no-303-2006-1/orientacoes-gerais/desistencia-de-parcelamentos-anteriormente-concedidos/desistencia-de-parcelamentos-concedidos-pela-rfb,A desistência do parcelamento será efetuada exclusivamente pela Internet através da opção Desistência de Parcelamentos Concedidos pela RFB disponível na página da Secretaria da Receita Federal do Brasil (RFB) no seguinte endereço eletrônico www.receita.fazenda.gov.br .A relação dos processos administrativos de parcelamento poderá ser obtida na Consulta Situação Fiscal para efeitos da MP nº 303 de 2006.4) A desistência do parcelamento é suficiente para que o débito correspondente seja incluído nos parcelamentos previstos na MP nº 303 de 2006?O pedido de desistência do parcelamento anterior não significa adesão automática aos parcelamentos previstos na MP nº 303 de 2006.7) Quais as opções para negociação ou liquidação dos saldos dos débitos dos parcelamentos rescindidos por desistência do contribuinte?,assuntos orientacao tributaria pagamentos e parcelamentos parcelamentos especiais parcelamento excepcional 2013 paex 2013 mp no 303 2006 1 orientacoes gerais desistencia de parcelamentos anteriormente concedidos desistencia de parcelamentos concedidos pela rfb,parcelamentos 303 desistência concedidos mp vencimento rfb nº desistir parcelamento débitos,Os saldos dos débitos incluídos em parcelamento concedido pela RFB excetuados o Refis e o Paes que possuem regras específicas poderão ser pagos ou parcelados nas formas previstas na Medida Provisória nº 303 de 2006. 1) Para desistir do parcelamento o contribuinte precisa comparecer a uma unidade da Secretaria da Receita Federal do Brasil? 2) Qual o prazo que o contribuinte tem para desistir do parcelamento? R. A desistência tem que ser efetuada até o dia 15 de setembro de 2006. 3) Para desistir do parcelamento é necessário informar cada processo de parcelamento? R. Sim. A desistência deverá ser informada de forma individualizada para cada processo administrativo de parcelamento que a pessoa jurídica queira desistir. A relação dos processos administrativos de parcelamento poderá ser obtida na Consulta Situação Fiscal para efeitos da MP nº 303 de 2006.
1606,Receita Federal, ,Desistência do Paes,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/pagamentos-e-parcelamentos/parcelamentos-especiais/parcelamento-excepcional-2013-paex-2013-mp-no-303-2006-1/orientacoes-gerais/desistencia-de-parcelamentos-anteriormente-concedidos/desistencia-do-paes,2) Como será efetuado o pedido de desistência do Paes?3) Quais as implicações do pedido de desistência do Paes?4) Como deve proceder a pessoa jurídica que possuir ação judicial requerendo o restabelecimento da opção ou sua reinclusão no Paes?Na hipótese de ação judicial na qual esteja em vigor decisão determinando a reinclusão ou o restabelecimento da opção pelo Paes cumulativamente com a desistência da ação judicial retrocitada a pessoa jurídica deverá solicitar até 15 de setembro de 2006 seu desligamento do parcelamento através da opção Desistência do Paes disponível nas páginas da SRF e da PGFN na Internet.R. A pessoa jurídica deverá solicitar seu desligamento do parcelamento através da opção Desistência do Paes disponível nas páginas da SRF e da PGFN na Internet.,assuntos orientacao tributaria pagamentos e parcelamentos parcelamentos especiais parcelamento excepcional 2013 paex 2013 mp no 303 2006 1 orientacoes gerais desistencia de parcelamentos anteriormente concedidos desistencia do paes,srf paes desistência opção 2006 nº ação pessoa parcelamento jurídica,1) Os saldos dos débitos incluídos no Parcelamento Especial - Paes poderão ser pagos ou parcelados conforme autorizado pela Medida Provisória nº 303 de 2006? R. Sim. A critério da pessoa jurídica e mediante prévia desistência esses débitos poderão ser pagos ou parcelados nas seguintes condições • Pagamento à vista com redução de 80% das multas e 30% dos juros • Parcelamento em 6 meses com redução de 80% das multas e 30% dos juros • Parcelamento em 130 meses com redução de 50% das multas. R. Será efetuado exclusivamente pela Internet até o dia 15 de setembro de 2006 por meio da opção Desistência do Paes disponível nas páginas da Secretaria da Receita Federal (SRF) e da Procuradoria-Geral da Fazenda Nacional (PGFN) respectivamente nos seguintes endereços eletrônicos www. receita. fazenda. gov. br e www. pgfn. fazenda. gov. br . R. O pedido implica desistência irrevogável e irretratável do parcelamento nos termos do § 1º do art.
1607,Receita Federal, ,Desistência do Refis,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/pagamentos-e-parcelamentos/parcelamentos-especiais/parcelamento-excepcional-2013-paex-2013-mp-no-303-2006-1/orientacoes-gerais/desistencia-de-parcelamentos-anteriormente-concedidos/desistencia-do-refis,"A desistência do Refis será efetuada exclusivamente pela Internet através da opção Desistência do Refis disponível nas páginas da Secretaria da Receita Federal (SRF) e da Procuradoria-Geral da Fazenda Nacional (PGFN) respectivamente nos seguintes endereços eletrônicos www.receita.fazenda.gov.br e www.pgfn.fazenda.gov.br .O pedido de desistência do Refis não significa adesão automática aos parcelamentos previstos na MP nº 303 de 2006.R. O pedido de desistência do Refis implica desistência irrevogável e irretratável do Programa nos termos do § 1º do art.6) Na hipótese de ação judicial na qual esteja em vigor decisão determinando a reinclusão ou o restabelecimento da opção pelo Refis e o contribuinte desistir dessa ação será necessário ainda solicitar sua desistência do Refis?R. Sim cumulativamente com a desistência da ação judicial o contribuinte deverá solicitar até 15 de setembro de 2006 seu desligamento do Programa através da opção "" Desistência do Refis "" disponível nas páginas da SRF e da PGFN na Internet.",assuntos orientacao tributaria pagamentos e parcelamentos parcelamentos especiais parcelamento excepcional 2013 paex 2013 mp no 303 2006 1 orientacoes gerais desistencia de parcelamentos anteriormente concedidos desistencia do refis,srf contribuinte desistência opção 2006 ação nº solicitar judicial refis,Os saldos dos débitos incluídos no Refis poderão a critério da pessoa jurídica e mediante prévia desistência ser pagos ou parcelados nas seguintes condições • Pagamento à vista com redução de 80% das multas e 30% dos juros • Parcelamento em 6 meses com redução de 80% das multas e 30% dos juros • Parcelamento em 130 meses com redução de 50% das multas. 1) Para desistir do Refis o contribuinte precisa comparecer a uma unidade da Secretaria da Receita Federal? R. Não. A desistência do Refis será efetuada exclusivamente pela Internet através da opção Desistência do Refis disponível nas páginas da Secretaria da Receita Federal (SRF) e da Procuradoria-Geral da Fazenda Nacional (PGFN) respectivamente nos seguintes endereços eletrônicos www. receita. fazenda. gov. br e www. pgfn. fazenda. gov. br . 2) Qual o prazo que o contribuinte tem para desistir do Refis? R. A desistência tem que ser efetuada até o dia 15 de setembro de 2006.
1608,Receita Federal, ,Despacho Decisório,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/restituicao-ressarcimento-reembolso-e-compensacao/perdcomp/despacho-decisorio,Para ter acesso ao Despacho Decisório o contribuinte deve acessar o serviço Consulta Despacho Decisório disponível em Restituição e Compensação no e-CAC (Centro Virtual de Atendimento ao Contribuinte).,assuntos orientacao tributaria restituicao ressarcimento reembolso e compensacao perdcomp despacho decisorio,restituição ecac disponível compensação virtual decisório contribuinte despacho consulta serviço,Para ter acesso ao Despacho Decisório o contribuinte deve acessar o serviço Consulta Despacho Decisório disponível em Restituição e Compensação no e-CAC (Centro Virtual de Atendimento ao Contribuinte).
